CustomerId,LastName,Country,Gender,Age
10000000,Coleman,United Kingdom,Male,44
10000001,Ho,France,Male,34
10000002,Miller,France,Female,39
10000003,Smith,United Kingdom,Female,25
10000004,Bass,France,Female,33
10000005,Hughes,United Kingdom,Female,25
10000006,Potts,United Kingdom,Female,31
10000007,Hubbard,United Kingdom,Female,58
10000008,Myers,France,Male,40
10000009,White,Germany,Male,33
10000010,Cook,United Kingdom,Female,44
10000011,Hughes,United Kingdom,Male,35
10000012,Lewis,United Kingdom,Female,57
10000013,Miller,United Kingdom,Female,43
10000014,Lee,United Kingdom,Male,27
10000015,Rodriguez,Germany,Female,53
10000016,Robinson,United Kingdom,Male,45
10000017,Blackwell,Germany,Female,44
10000018,Graham,United Kingdom,Female,48
10000019,Chase,United Kingdom,Male,47
10000020,Garrett,France,Female,44
10000021,Humphrey,United Kingdom,Male,37
10000022,Smith,France,Female,48
10000023,Wallace,United Kingdom,Male,37
10000024,Flores,Germany,Male,53
10000025,Davis,Germany,Female,44
10000026,Crosby,United Kingdom,Female,41
10000027,Adams,United Kingdom,Female,46
10000028,Cox,France,Female,41
10000029,Scott,Germany,Female,52
10000030,Morris,United Kingdom,Female,49
10000031,Rodgers,France,Female,40
10000032,Miller,Germany,Male,18
10000033,Miller,United Kingdom,Female,48
10000034,Brown,Germany,Male,43
10000035,Flores,Germany,Male,64
10000036,Sanchez,Germany,Female,25
10000037,Baker,United Kingdom,Male,37
10000038,Moore,Germany,Female,23
10000039,Cardenas,United Kingdom,Female,31
10000040,Martinez,France,Male,55
10000041,Hughes,United Kingdom,Female,21
10000042,Parker,United Kingdom,Male,24
10000043,Martin,Germany,Male,45
10000044,Santos,United Kingdom,Female,41
10000045,Myers,Germany,Female,35
10000046,Rush,Germany,Female,18
10000047,Barrera,France,Female,52
10000048,Campbell,Germany,Female,36
10000049,Sparks,United Kingdom,Female,28
10000050,Patterson,Germany,Female,42
10000051,Mcclure,United Kingdom,Male,52
10000052,Shea,United Kingdom,Male,36
10000053,Martinez,France,Female,32
10000054,Roy,France,Female,39
10000055,Dougherty,Germany,Male,43
10000056,Reynolds,France,Male,44
10000057,Cherry,United Kingdom,Male,36
10000058,Patterson,Germany,Male,52
10000059,Smith,United Kingdom,Female,30
10000060,Mitchell,United Kingdom,Male,37
10000061,Wells,United Kingdom,Male,37
10000062,Perry,United Kingdom,Male,23
10000063,Green,United Kingdom,Female,43
10000064,Sanders,France,Male,40
10000065,Kim,United Kingdom,Female,37
10000066,Edwards,Germany,Male,44
10000067,Chapman,France,Male,37
10000068,Werner,France,Female,54
10000069,Morrison,Germany,Male,44
10000070,Atkinson,Germany,Male,43
10000071,Moran,United Kingdom,Female,32
10000072,Brown,Germany,Female,19
10000073,Hall,France,Male,47
